fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
19,7,300,7,0.13341963750548566,0.9172651686186996,0.9028984930759836,0,1.0,10,models/zone_8/trial_024.json,0.0,0.0,0.0,0.0,1.0,1.0,0.6089984512904477,0.26648351550102234,0.0521978021978022,0.606757373523256,0.2652950882911682,0.771978021978022
8,5,200,5,0.17784480008402836,0.826568980272875,0.8958682553539487,1,0.1,10,models/zone_8/trial_025.json,0.40560588759314664,0.13483871519565582,0.06129032258064516,0.40094840739204657,0.7056131362915039,0.8780645161290322,0.624587781388534,0.26923078298568726,0.07692307692307693,0.6198328245152692,0.2271992564201355,0.7774725274725275
11,5,200,3,0.020564464442170464,0.8179083434668897,0.9457798778809543,5,1.0,10,models/zone_8/trial_026.json,0.5858547660909851,0.23870967328548431,0.07870967741935483,0.5805433602515441,0.3858281970024109,0.8032258064516129,0.624587781388534,0.2857142984867096,0.07142857142857142,0.6204900074083092,0.2271992564201355,0.7527472527472527
19,5,100,5,0.04833833979310081,0.8407470179075622,0.9113494122754,0,1.0,5,models/zone_8/trial_027.json,0.349192621333152,0.10516128689050674,0.05741935483870968,0.344439401870451,0.7818074226379395,0.9025806451612903,0.6112498516636455,0.26923078298568726,0.07692307692307693,0.606390314783358,0.2598528265953064,0.7692307692307693
12,7,100,3,0.17472382068470974,0.820640668497902,0.9951571823846245,5,1.0,10,models/zone_8/trial_028.json,0.5752979698604846,0.23419354856014252,0.06516129032258064,0.5715957909038346,0.40776288509368896,0.8064516129032258,0.6157279320656455,0.26923078298568726,0.04945054945054945,0.6137389691716812,0.24896830320358276,0.771978021978022
22,3,200,3,0.2836734234217809,0.9133162486703549,0.9966810869759358,5,1.0,1,models/zone_8/trial_029.json,0.5553261210285031,0.22580644488334656,0.06193548387096774,0.5518614795506773,0.44816893339157104,0.8083870967741935,0.6609184334532161,0.30494505167007446,0.04120879120879121,0.6596324903613352,0.1346808671951294,0.7472527472527473
29,7,300,3,0.05865714149366799,0.8242253170084687,0.9632428662731841,0,0.0,1,models/zone_8/trial_030.json,0.3152060291540555,0.09290322661399841,0.05161290322580645,0.31095167941382945,0.8222134113311768,0.9103225806451613,0.6311510433400241,0.29395604133605957,0.04120879120879121,0.6298043218959033,0.21087247133255005,0.7445054945054945
12,3,100,3,0.21058284067650324,0.8771879635174709,0.8867941042473948,0,0.0,1,models/zone_8/trial_031.json,0.32128772909241377,0.09161290526390076,0.05161290322580645,0.31711498651469694,0.8152866959571838,0.9141935483870968,0.6504436391124874,0.29120880365371704,0.054945054945054944,0.6481187885056319,0.16189217567443848,0.7582417582417582
23,7,300,7,0.2766696080758502,0.9353470690263009,0.9429731911215691,0,0.0,10,models/zone_8/trial_032.json,0.0,0.0,0.0,0.0,1.0,1.0,0.6311510433400241,0.2884615361690521,0.03571428571428571,0.6301397766746412,0.21087247133255005,0.7527472527472527
9,5,100,5,0.12127760992265699,0.8185880948435722,0.8123423649628001,5,0.0,10,models/zone_8/trial_033.json,0.5622535271540319,0.22580644488334656,0.06709677419354838,0.5582356627365225,0.43431544303894043,0.8116129032258065,0.6157279320656455,0.2747252881526947,0.06043956043956044,0.6127543868914785,0.24896830320358276,0.7637362637362637
