fire_lag,climate_lag,constant_value,length_scale,alpha,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,train_mean_prediction_std,train_max_prediction_std,train_min_prediction_std,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage,val_mean_prediction_std,val_max_prediction_std,val_min_prediction_std
11,6,4.541154592424241,1.2573087169752788,0.008014654549945056,models/zone_5/trial_011.pkl,1569,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.05900142941018797,0.059001429410188405,0.05900142941018758,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6590526785925256,0.6590526785925256,0.6590526785925256
15,4,8.366134682895572,27.891408026747936,0.0727507550539607,models/zone_5/trial_012.pkl,1565,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.17069298625202373,0.17227125050155181,0.15249545694954605,0.8136878468355737,0.37637362637362637,0.21703296703296704,0.7842095404346845,-0.04818917207346085,0.7087912087912088,0.602981809008223,0.6494182207834557,0.3467623987301967
23,6,1.2007499172099605,15.116977323922296,0.030185004339163376,models/zone_5/trial_013.pkl,1557,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.11323146406818706,0.11359367809227804,0.10863794040103955,0.780954614488006,0.35714285714285715,0.21978021978021978,0.7493909292775488,0.03444814854643852,0.7225274725274725,0.6159656848347412,0.655300006381759,0.4088733094149626
8,4,4.256272883159086,39.90105632333247,0.04576565030198123,models/zone_5/trial_014.pkl,1572,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.13816949302472442,0.13816949302472445,0.13816949302472445,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6458658877783314,0.6458658877783316,0.6458658877783316
10,6,6.0077165239075745,1.805332258088827,0.05158603544791967,models/zone_5/trial_015.pkl,1570,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1463237847725099,0.14632378477339994,0.14632378423899742,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6442416754101666,0.6442416754104004,0.6442416753510003
14,4,2.983592678975053,1.0766524607365509,0.03534632235864078,models/zone_5/trial_016.pkl,1566,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.12228650902662046,0.12228650902662073,0.12228650902657394,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6504387848569165,0.6504387848569166,0.6504387848568793
25,6,1.9544077268039872,33.742530243062106,0.05239610731205332,models/zone_5/trial_017.pkl,1555,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1471656774892498,0.14801848197320636,0.13778607076112706,0.7791937224739796,0.3543956043956044,0.22252747252747251,0.7467425132623642,0.03879748121064375,0.7252747252747253,0.6068342277630191,0.6475239452951658,0.4008967617490803
18,3,9.538696412056598,27.66001603647364,0.07866259235094723,models/zone_5/trial_018.pkl,1562,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.17591881802935852,0.17905193890767898,0.145321073284869,0.7667542552292018,0.3516483516483517,0.18681318681318682,0.7436483854247176,0.06924280986008036,0.7225274725274725,0.5856727049389598,0.6639159347280351,0.2927122236534391
23,7,0.30130963225284135,43.793240487848365,0.004449089074160986,models/zone_5/trial_019.pkl,1557,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.04418256233620775,0.044182562336207744,0.044182562336207744,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.662392424010431,0.6623924240104311,0.6623924240104311
19,5,2.6111375845852063,1.7958693243384336,0.07887314962632358,models/zone_5/trial_020.pkl,1561,364,487,0.0,0.0,0.0,0.0,1.0,1.0,0.1787454073010277,0.17874540744770384,0.17874534768911976,0.8817440260486756,0.38186813186813184,0.38186813186813184,0.7947636487258778,-0.2308611439700805,0.7445054945054945,0.6364582397108234,0.6364582397150578,0.636458239042071
