fire_lag,climate_lag,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,model_file,train_size,val_size,test_size,train_rmse,train_mae,train_mean_residual,train_std_residual,train_r2,train_exact_match_percentage,val_rmse,val_mae,val_mean_residual,val_std_residual,val_r2,val_exact_match_percentage
22,4,300,3,0.21977224410548155,0.9764766150281475,0.91524232994418,0,0.1,5,models/regional/trial_023.json,1558,364,487,0.5179697822111727,0.24390244483947754,0.021822849807445442,0.5175098512618972,0.9918703436851501,0.7676508344030809,2.6638606825647813,1.6510988473892212,0.2774725274725275,2.6493702728482207,0.8273297548294067,0.32967032967032966
13,3,100,7,0.13500484289784948,0.8847157246039842,0.893404933607335,5,0.0,10,models/regional/trial_024.json,1567,364,487,0.9264599529469799,0.5571154952049255,0.042756860242501596,0.9254727798363891,0.9738746285438538,0.5558391831525208,2.7897969622549037,1.6456043720245361,0.4532967032967033,2.7527239476103254,0.8106175661087036,0.35714285714285715
27,3,100,5,0.22118194064794297,0.9601185021723397,0.8218538064489609,0,0.0,10,models/regional/trial_025.json,1553,364,487,0.4238540887570851,0.16419832408428192,0.031551835157759174,0.4226780897993638,0.9945690631866455,0.8428847392144238,2.5720389924542033,1.5549451112747192,0.34615384615384615,2.548639270312202,0.8390282988548279,0.3598901098901099
21,4,200,3,0.09077809195341273,0.8499612895764201,0.9846531198552025,1,1.0,1,models/regional/trial_026.json,1559,364,487,1.0525024385038928,0.6561898589134216,0.023733162283515075,1.0522348228943728,0.966418981552124,0.514432328415651,2.540874597504836,1.5714285373687744,0.26373626373626374,2.5271500033109215,0.8429055213928223,0.3626373626373626
8,7,100,3,0.278646425072357,0.9697391468828611,0.8332622221207828,1,0.1,1,models/regional/trial_027.json,1572,364,487,0.8433243419585054,0.4974554777145386,0.008905852417302799,0.8432773058406718,0.9783068895339966,0.5896946564885496,2.6674678214937915,1.686813235282898,0.27472527472527475,2.653282992598365,0.8268618583679199,0.32142857142857145
19,3,100,5,0.010625059721913665,0.8780843515175627,0.9853036147118667,1,0.1,5,models/regional/trial_028.json,1561,364,487,2.8686827209162904,1.789878249168396,0.12299807815502883,2.8660445982800176,0.75031977891922,0.13260730301089046,3.6309868932270497,2.365384578704834,0.8543956043956044,3.5290330241094945,0.6791930198669434,0.1401098901098901
29,7,300,7,0.15113470937975554,0.8379795734535275,0.843540179682835,0,1.0,10,models/regional/trial_029.json,1551,364,487,0.0,0.0,0.0,0.0,1.0,1.0,2.719991115667756,1.673076868057251,0.48626373626373626,2.6761724957757265,0.8199763894081116,0.3324175824175824
24,3,300,5,0.026577929143170094,0.9168355188917943,0.9005700765839028,5,0.0,1,models/regional/trial_030.json,1556,364,487,0.9248775465561967,0.5597686171531677,0.05205655526992288,0.9234113777926808,0.9741024374961853,0.5578406169665809,2.5970185608551253,1.6016483306884766,0.36538461538461536,2.571186414351501,0.8358864188194275,0.34065934065934067
23,3,100,3,0.18256018087050802,0.935042510720818,0.8470407790001863,0,1.0,1,models/regional/trial_031.json,1557,364,487,1.0766989633914623,0.6608863472938538,0.01348747591522158,1.0766144880804014,0.9648872017860413,0.5170199100834939,2.6144148530414433,1.6318681240081787,0.1978021978021978,2.606921388479034,0.8336803913116455,0.34615384615384615
25,7,100,7,0.03377518759351389,0.9314746328945045,0.9130453847688179,1,0.1,1,models/regional/trial_032.json,1555,364,487,0.7212885931257781,0.3942122161388397,0.0842443729903537,0.716351952845911,0.9842557311058044,0.6527331189710611,2.820158978032436,1.7335164546966553,0.3873626373626374,2.793429234913991,0.8064729571342468,0.33791208791208793
